Geography,Gender,Age,Balance,IsActiveMember,Exited
Spain,Female,35.0,14262.8,0,0
Spain,Male,41.0,102749.72,1,0
Spain,Male,36.0,161757.87,1,0
France,Male,38.0,0.0,0,0
Germany,Female,35.0,95698.79,1,0
France,Male,37.0,124969.13,0,0
Germany,Male,44.0,93960.35,0,1
France,Female,51.0,88308.87,0,1
Spain,Female,39.0,0.0,1,0
France,Female,59.0,0.0,1,0
France,Male,30.0,112935.87,1,0
Spain,Female,24.0,98567.1,0,0
France,Female,26.0,180530.51,0,0
France,Male,33.0,140931.57,1,0
Germany,Female,31.0,148913.72,0,0
France,Male,38.0,0.0,0,0
France,Female,49.0,0.0,1,1
France,Male,41.0,0.0,0,0
France,Female,50.0,115335.32,1,0
France,Female,38.9218,0.0,1,0
France,Female,26.0,0.0,1,0
Germany,Female,33.0,134678.13,0,0
France,Male,38.0,0.0,0,0
Germany,Male,31.0,90547.48,1,0
France,Male,32.0,103324.78,1,0
France,Male,29.0,114590.58,0,0
Germany,Female,36.0,91286.51,0,0
Spain,Male,32.0,163340.12,1,0
Spain,Male,45.0,150900.29,1,0
Spain,Male,23.0,124577.33,1,0
Spain,Male,35.0,0.0,0,0
Spain,Female,31.0,91292.7,1,0
Germany,Female,57.0,93716.72,1,1
France,Female,37.0,111723.08,1,0
Germany,Male,45.0,110765.68,0,1
Germany,Male,25.0,173459.45,1,0
Spain,Female,22.0,169649.73,1,1
Spain,Female,31.0,0.0,0,0
Germany,Male,45.0,116917.07,0,1
France,Male,37.0,0.0,1,0
France,Female,36.0,0.0,1,0
France,Male,22.0,0.0,0,0
Germany,Male,32.0,130627.66,0,1
Spain,Female,46.0,56580.95,1,0
Germany,Male,38.0,142316.14,1,0
Spain,Male,31.0,0.0,1,0
France,Male,56.0,152759.0,0,1
Germany,Male,39.0,109733.2,0,1
France,Male,54.0,117444.51,1,0
Spain,Female,34.0,76001.57,1,0
France,Female,34.0,107747.57,0,0
Spain,Female,35.0,0.0,1,0
France,Female,36.0,134997.49,0,0
France,Female,48.0,0.0,1,0
France,Male,36.0,0.0,1,1
Spain,Female,30.0,0.0,0,0
Spain,Female,37.0,64345.21,1,1
Germany,Female,35.0,141665.63,1,0
Spain,Female,29.0,0.0,0,0
Germany,Female,33.0,136624.6,1,0
France,Female,52.0,161209.66,1,0
Spain,Male,38.0,95010.92,1,0
France,Female,41.0,167545.32,0,0
Germany,Female,36.0,109044.6,0,1
France,Female,47.0,122031.55,1,1
Spain,Female,29.0,27755.97,0,1
France,Female,29.0,118560.55,1,0
France,Male,61.0,0.0,1,0
France,Male,34.0,0.0,1,0
Spain,Female,28.0,97840.72,1,0
Germany,Female,38.0,158651.29,1,0
France,Male,44.0,175303.06,0,1
Spain,Male,25.0,96950.21,0,0
France,Male,45.0,123859.6,1,0
France,Female,32.0,0.0,1,0
France,Female,38.9218,0.0,1,0
France,Female,33.0,85227.84,1,0
France,Male,36.0,97786.08,1,0
Germany,Male,33.0,128135.99,0,0
Spain,Male,33.0,0.0,0,0
Spain,Male,36.0,85996.19,0,0
Spain,Female,50.0,0.0,1,0
Germany,Female,39.0,104502.11,0,0
Spain,Male,35.0,95772.97,1,0
Spain,Male,31.0,98108.79,1,0
Germany,Male,39.0,131607.28,1,1
Spain,Male,55.0,63127.41,0,1
Spain,Male,35.0,0.0,1,0
France,Male,31.0,0.0,1,0
Germany,Female,36.0,140355.56,0,0
Spain,Female,36.0,0.0,1,0
France,Male,30.0,0.0,1,0
Germany,Male,24.0,107418.27,1,0
France,Male,35.0,0.0,0,0
Spain,Male,32.0,0.0,1,0
Spain,Male,39.0,167557.12,1,0
Spain,Male,34.0,117300.02,0,0
France,Male,60.0,0.0,1,0
France,Female,23.0,143672.9,1,0
France,Male,33.0,0.0,1,0
France,Female,37.0,0.0,1,0
Germany,Female,31.0,76798.92,0,0
France,Male,34.0,0.0,1,0
Spain,Female,49.0,115309.75,0,0
France,Female,29.0,178171.04,1,0
Spain,Female,38.0,0.0,1,0
Spain,Female,37.0,0.0,0,0
Germany,Female,45.0,127258.79,1,1
Spain,Female,30.0,0.0,1,0
France,Female,33.0,0.0,1,0
Spain,Male,38.9218,0.0,1,0
Spain,Female,33.0,0.0,1,0
Spain,Male,36.0,0.0,1,0
Spain,Female,38.9218,107569.96,1,0
Germany,Male,20.0,134874.4,1,0
France,Female,29.0,0.0,0,0
France,Female,38.9218,0.0,1,0
Spain,Female,48.0,0.0,1,0
Spain,Female,32.0,0.0,0,0
Spain,Male,42.0,70105.87,1,0
France,Male,41.0,0.0,0,0
Germany,Female,29.0,78939.15,0,1
Germany,Male,30.0,105128.85,1,0
Spain,Male,31.0,113836.27,1,0
Spain,Male,25.0,0.0,1,0
Germany,Male,48.0,100900.5,0,1
Germany,Female,40.0,129248.11,0,1
France,Female,28.0,109118.05,1,0
France,Male,56.0,0.0,1,1
France,Female,31.0,0.0,1,0
France,Female,35.0,126397.66,0,1
France,Male,36.0,108546.16,0,1
France,Male,36.0,148061.89,0,1
France,Male,44.0,122277.87,1,0
France,Male,24.0,0.0,0,0
France,Male,31.0,0.0,1,0
Germany,Male,36.0,152899.24,0,0
Germany,Male,54.0,134388.11,0,1
Spain,Female,40.0,109740.62,0,0
Germany,Male,23.0,92366.72,0,0
France,Female,26.0,129109.02,0,1
Spain,Female,56.0,0.0,1,0
Germany,Male,38.9218,105102.5,1,0
Germany,Male,30.0,111375.32,0,0
France,Male,39.0,0.0,0,0
Germany,Female,33.0,150412.14,0,0
France,Male,30.0,156660.72,0,0
France,Male,38.0,90957.81,1,0
France,Male,37.0,104960.46,1,0
Germany,Female,31.0,117052.82,0,1
Spain,Male,44.0,88915.85,0,0
France,Male,45.0,148071.39,0,0
Germany,Male,39.0,152182.83,0,0
Spain,Male,39.0,0.0,0,0
France,Male,22.0,130056.23,0,1
Germany,Male,34.0,95039.73,1,0
France,Male,52.0,0.0,1,0
Spain,Male,35.0,0.0,0,0
France,Female,43.0,112773.73,1,0
France,Female,37.0,123806.28,0,1
France,Male,53.0,144453.75,0,1
Germany,Male,27.0,94667.29,1,0
France,Male,21.0,0.0,1,0
Spain,Male,51.0,174397.21,1,0
Germany,Female,58.0,108888.24,1,1
France,Male,55.0,118803.35,1,1
France,Male,54.0,171137.62,1,1
France,Male,42.0,0.0,0,0
France,Male,33.0,136678.52,0,0
Spain,Female,36.0,135515.76,0,0
Spain,Female,24.0,177799.83,0,0
Spain,Female,52.0,143542.36,0,1
Germany,Male,34.0,147487.23,0,0
France,Female,40.0,97764.41,0,1
France,Female,33.0,0.0,0,1
Germany,Female,48.0,139480.18,1,0
Spain,Male,25.0,0.0,1,0
Spain,Female,39.0,140553.46,0,0
France,Female,36.0,0.0,1,0
France,Female,41.0,141162.08,0,0
Spain,Male,26.0,65848.36,0,0
Spain,Female,30.0,83319.28,0,0
France,Male,41.0,0.0,0,0
France,Female,33.0,129731.64,0,0
France,Female,35.0,0.0,0,0
Spain,Female,38.0,0.0,0,0
Spain,Male,35.0,0.0,0,1
Germany,Male,37.0,107106.33,0,0
France,Male,33.0,0.0,1,0
France,Female,30.0,0.0,1,0
Spain,Female,38.9218,105303.73,1,0
France,Male,28.0,165798.1,0,0
Spain,Female,40.0,0.0,0,0
Spain,Female,45.0,126495.57,1,0
Spain,Female,47.0,116393.59,0,1
Germany,Female,41.0,81733.74,0,0
France,Male,54.0,0.0,1,1
Spain,Female,46.0,106171.68,0,1
Spain,Male,28.0,96020.86,1,0
Spain,Male,41.0,0.0,1,0
Germany,Male,36.0,181671.16,1,0
France,Female,29.0,185709.28,1,0
Germany,Male,60.0,134250.17,0,1
France,Female,49.0,0.0,0,1
France,Female,44.0,95671.75,1,0
France,Male,62.0,0.0,0,1
France,Female,34.0,142151.75,1,0
France,Male,43.0,127823.93,1,0
Germany,Male,43.0,144164.29,1,0
France,Male,58.0,63492.94,1,0
France,Female,27.0,0.0,1,0
France,Male,38.9218,0.0,1,0
France,Male,41.0,106134.46,1,0
Germany,Male,29.0,127269.75,1,0
Germany,Female,32.0,124493.03,1,1
France,Male,39.0,0.0,0,0
Germany,Female,43.0,146547.78,1,1
France,Male,43.0,99610.92,0,0
Germany,Male,46.0,117837.43,0,1
Spain,Female,48.0,168522.37,1,0
France,Male,32.0,117337.54,1,0
France,Male,38.9218,108131.53,1,0
Germany,Male,35.0,136496.12,0,0
France,Male,32.0,116324.53,0,0
Germany,Female,40.0,75470.23,1,0
France,Male,28.0,172646.82,1,0
Spain,Female,37.0,0.0,0,0
Germany,Male,27.0,160358.68,0,0
France,Male,30.0,98415.37,1,0
Germany,Female,30.0,57809.32,0,0
Germany,Female,18.0,128743.8,0,0
Germany,Male,24.0,130806.42,0,0
France,Male,41.0,123971.16,1,0
Spain,Female,39.0,0.0,0,1
France,Male,45.0,0.0,0,0
Spain,Female,23.0,0.0,1,0
France,Female,59.0,0.0,0,1
France,Female,39.0,0.0,0,0
France,Male,33.0,156297.58,1,0
Spain,Female,28.0,0.0,1,0
France,Male,51.0,123372.3,1,0
Germany,Female,37.0,92171.35,0,1
Spain,Male,41.0,0.0,0,0
Germany,Male,34.0,148375.19,1,0
France,Female,44.0,0.0,1,0
Spain,Male,34.0,147422.44,1,0
Spain,Female,24.0,173962.32,0,1
France,Male,47.0,0.0,1,1
Germany,Female,38.9218,145215.43,1,0
France,Female,38.0,167539.97,1,0
France,Female,39.0,94968.97,0,0
Germany,Female,27.0,106116.5,0,0
France,Male,34.0,0.0,1,0
France,Male,45.0,0.0,0,0
France,Female,31.0,0.0,0,0
Germany,Male,34.0,120018.86,1,0
France,Male,37.0,112541.54,0,0
France,Female,35.0,166118.45,0,0
France,Female,45.0,102882.4,1,1
France,Female,49.0,0.0,1,1
France,Female,37.0,106881.5,0,0
Germany,Male,26.0,120727.97,1,0
France,Male,38.9218,169832.57,0,1
France,Male,41.0,0.0,1,0
Germany,Male,38.0,113599.42,0,0
Spain,Male,38.0,0.0,1,1
France,Male,32.0,0.0,0,0
France,Male,47.0,0.0,0,0
Spain,Female,50.0,0.0,1,0
Spain,Male,38.0,146282.79,0,0
Germany,Female,38.0,119413.62,0,0
Germany,Female,29.0,122084.63,1,0
Germany,Female,35.0,103060.63,0,1
France,Male,44.0,0.0,1,0
France,Male,33.0,0.0,0,0
Germany,Male,37.0,110483.86,1,0
France,Male,31.0,120718.28,1,0
Spain,Female,31.0,36566.96,0,1
Germany,Male,28.0,108601.0,1,0
France,Female,42.0,0.0,0,1
Spain,Female,36.0,0.0,1,0
France,Male,36.0,0.0,1,0
Spain,Female,48.0,0.0,1,0
Germany,Male,44.0,141136.62,0,1
Germany,Male,45.0,108231.37,1,0
France,Male,40.0,0.0,0,1
Spain,Female,34.0,144855.34,0,0
France,Male,38.9218,68432.45,1,1
France,Male,45.0,136855.24,0,0
France,Female,55.0,44020.89,0,1
Germany,Male,32.0,133060.63,1,0
Spain,Male,39.0,0.0,1,0
France,Male,24.0,0.0,1,0
France,Female,36.0,97665.61,0,1
Germany,Male,28.0,185013.02,0,0
Spain,Female,32.0,0.0,1,0
France,Female,52.0,65971.61,0,1
Germany,Female,41.0,150463.11,1,0
France,Female,33.0,0.0,0,0
Spain,Male,39.0,0.0,0,0
France,Female,37.0,136425.18,0,0
Spain,Male,38.0,250898.09,1,1
France,Male,55.0,146798.81,1,0
Spain,Male,38.9218,0.0,0,0
Germany,Female,40.0,128486.91,0,0
France,Female,38.0,0.0,1,0
Spain,Male,37.0,143407.29,1,0
France,Female,43.0,0.0,0,1
France,Male,57.0,76165.65,1,0
France,Male,40.0,0.0,0,0
Spain,Female,49.0,0.0,1,0
Germany,Female,33.0,90560.3,1,0
France,Male,61.0,62391.22,1,0
France,Male,42.0,0.0,0,0
France,Female,31.0,0.0,1,0
Germany,Female,55.0,123378.2,0,1
Spain,Female,42.0,99836.47,1,0
Germany,Male,38.9218,161434.36,1,0
Spain,Male,41.0,0.0,1,0
Germany,Female,48.0,138311.76,1,1
France,Male,25.0,0.0,0,0
Spain,Female,28.0,0.0,0,0
Germany,Male,35.0,101744.84,0,0
Spain,Male,33.0,0.0,0,0
Germany,Female,54.0,125456.07,0,1
France,Male,44.0,0.0,0,0
France,Male,31.0,0.0,1,0
France,Female,27.0,0.0,0,1
France,Male,29.0,0.0,0,0
Germany,Female,54.0,118449.21,1,1
France,Male,30.0,0.0,1,0
Spain,Female,32.0,178095.55,0,0
Germany,Female,25.0,109175.14,0,0
France,Male,32.0,127785.17,0,1
France,Female,45.0,0.0,1,0
France,Female,40.0,0.0,1,0
Germany,Male,34.0,134260.36,0,0
France,Male,37.0,69143.91,1,0
France,Male,34.0,100054.77,0,0
France,Female,45.0,0.0,1,0
France,Male,38.0,116248.88,0,0
Spain,Female,43.0,86053.52,1,1
France,Female,32.0,123157.95,0,0
France,Male,44.0,63438.91,0,0
Germany,Male,57.0,95295.39,0,1
France,Male,18.0,133550.67,1,0
France,Female,38.0,106871.81,0,0
Spain,Male,45.0,105266.32,1,0
France,Female,51.0,105229.53,0,1
France,Male,41.0,102768.42,0,0
France,Male,18.0,0.0,1,1
France,Male,35.0,112689.95,0,0
France,Male,38.0,122334.26,1,0
Spain,Male,34.0,0.0,0,0
Spain,Male,33.0,137847.41,0,0
France,Male,49.0,122486.47,1,0
France,Male,33.0,101286.11,1,0
Spain,Male,26.0,0.0,1,0
Spain,Male,57.0,101247.06,0,1
France,Male,38.0,86977.96,1,0
France,Male,57.0,0.0,0,1
France,Female,55.0,110123.59,1,1
France,Male,36.0,178111.82,0,1
Germany,Male,38.9218,126306.64,0,1
France,Female,35.0,100768.77,0,0
France,Male,42.0,0.0,0,0
France,Female,44.0,0.0,1,0
France,Female,40.0,118991.79,1,0
France,Male,38.9218,140997.26,1,0
France,Male,28.0,0.0,1,0
Germany,Male,32.0,166824.59,0,0
France,Female,34.0,76322.69,0,0
France,Male,35.0,0.0,1,0
Spain,Male,38.9218,149083.7,1,0
France,Male,33.0,0.0,1,0
France,Male,40.0,0.0,1,0
France,Male,33.0,126588.81,1,0
Germany,Female,56.0,143249.67,0,1
Germany,Male,43.0,81844.91,1,0
France,Male,40.0,0.0,1,0
Germany,Male,58.0,190298.89,1,0
Germany,Male,35.0,117212.18,1,0
France,Female,46.0,0.0,1,0
France,Male,26.0,139848.17,0,0
Germany,Female,34.0,101861.36,0,0
Spain,Male,35.0,167455.66,1,0
France,Female,24.0,0.0,1,0
Spain,Female,43.0,116360.07,0,0
Spain,Male,40.0,88466.82,0,0
France,Female,42.0,0.0,1,0
Germany,Female,46.0,123642.36,1,1
Spain,Male,38.0,0.0,1,0
France,Male,38.0,72286.84,1,0
France,Female,40.0,0.0,0,0
Spain,Male,40.0,109681.61,1,0
Germany,Male,37.0,145018.64,0,1
Spain,Male,34.0,0.0,1,0
Spain,Female,32.0,187487.63,1,0
France,Male,35.0,165692.91,1,0
Germany,Female,59.0,137648.41,0,1
Spain,Female,47.0,118560.0,0,1
France,Male,33.0,164385.53,0,0
France,Male,37.0,108286.5,1,0
France,Female,34.0,0.0,1,0
Spain,Female,58.0,0.0,0,1
Germany,Male,47.0,118079.47,1,1
Spain,Male,35.0,127283.78,1,0
Spain,Male,48.0,0.0,0,0
France,Male,29.0,141389.06,0,0
France,Male,37.0,130091.5,1,0
France,Male,35.0,143744.77,0,0
Spain,Male,28.0,97408.03,1,0
Spain,Male,30.0,111927.45,1,0
France,Male,31.0,0.0,0,0
Spain,Male,38.0,0.0,0,0
France,Male,34.0,0.0,1,0
France,Female,33.0,188285.68,0,0
France,Female,46.0,109705.52,0,1
Spain,Male,33.0,0.0,0,0
Germany,Female,34.0,127122.79,1,0
France,Male,40.0,98241.04,0,0
Germany,Female,37.0,170840.08,0,0
Germany,Female,41.0,87541.06,1,1
France,Female,26.0,62610.96,1,0
France,Male,36.0,0.0,1,0
France,Female,47.0,113328.93,0,0
Spain,Male,35.0,104832.49,0,0
Spain,Female,31.0,102289.85,1,0
Germany,Female,34.0,125227.82,1,0
Germany,Female,49.0,140510.89,0,0
Germany,Female,35.0,132253.22,0,1
Germany,Male,43.0,39043.29,1,0
France,Male,34.0,0.0,1,0
Spain,Male,55.0,99685.06,0,0
Germany,Male,38.0,125385.49,1,0
Spain,Male,46.0,131365.37,1,0
Spain,Male,58.0,98308.51,1,0
France,Female,37.0,0.0,0,0
Spain,Male,44.0,140856.16,0,0
France,Female,30.0,0.0,1,0
France,Male,35.0,172274.01,0,0
Spain,Male,36.0,0.0,0,0
Spain,Male,38.0,122447.76,0,0
France,Female,38.0,0.0,1,1
Spain,Female,56.0,157559.59,0,1
Germany,Male,41.0,126550.7,0,1
France,Female,30.0,158584.82,0,1
France,Male,28.0,163569.61,1,0
France,Female,31.0,0.0,1,1
Germany,Female,33.0,127211.45,0,0
Germany,Male,42.0,118199.97,0,1
Germany,Female,30.0,101014.08,1,0
Spain,Male,38.0,119208.85,0,1
France,Female,38.9218,0.0,1,0
France,Female,58.0,53772.73,1,1
Spain,Female,39.0,0.0,0,0
Germany,Female,41.0,138878.81,1,0
Spain,Female,37.0,130922.81,0,0
France,Male,35.0,0.0,1,0
Spain,Male,20.0,0.0,1,0
Spain,Female,25.0,130866.19,0,0
Germany,Female,33.0,187257.94,1,0
Spain,Female,41.0,0.0,1,0
France,Male,36.0,147733.64,1,0
Spain,Male,43.0,0.0,1,0
France,Male,33.0,163139.27,1,0
Spain,Female,35.0,0.0,1,0
France,Female,36.0,119540.15,1,0
France,Female,41.0,129553.76,0,0
France,Male,55.0,0.0,1,0
Germany,Female,61.0,66101.89,1,0
France,Male,43.0,140431.98,0,1
France,Female,49.0,0.0,0,0
France,Female,29.0,0.0,1,0
France,Female,35.0,0.0,0,0
Germany,Female,37.0,116471.43,0,1
France,Male,39.0,0.0,0,0
France,Female,56.0,123785.24,0,1
France,Female,33.0,0.0,1,0
France,Female,38.0,88758.95,0,1
Germany,Male,25.0,153611.83,0,0
Germany,Female,57.0,112044.72,1,1
Spain,Female,27.0,123826.07,1,0
France,Female,38.9218,106804.26,0,1
France,Female,48.0,0.0,1,0
France,Female,59.0,68892.77,0,1
France,Female,43.0,0.0,0,0
France,Female,33.0,125827.43,1,0
Spain,Male,34.0,0.0,0,0
France,Male,36.0,0.0,1,0
Germany,Female,40.0,148495.64,0,0
France,Male,37.0,133043.66,0,0
France,Male,45.0,74989.58,1,0
Germany,Male,39.0,60263.23,0,0
Germany,Male,50.0,129370.91,1,1
Germany,Male,44.0,157955.83,0,0
France,Male,26.0,0.0,0,0
France,Female,30.0,70729.17,1,0
France,Male,48.0,0.0,1,1
Spain,Male,50.0,0.0,0,0
Spain,Male,27.0,90721.52,0,0
France,Male,27.0,0.0,1,0
Spain,Female,45.0,57784.22,0,1
France,Male,33.0,131765.72,0,0
France,Male,40.0,0.0,1,1
Germany,Male,47.0,110022.74,1,1
France,Female,40.0,131569.63,1,0
Germany,Male,61.0,164523.5,1,0
Germany,Female,25.0,114330.95,1,0
Spain,Female,45.0,135923.16,0,0
France,Female,61.0,0.0,1,0
France,Female,49.0,0.0,1,0
Spain,Male,45.0,124693.48,1,0
Spain,Female,35.0,147936.42,1,0
France,Male,29.0,0.0,0,0
France,Female,34.0,126558.92,0,0
Germany,Male,57.0,106938.11,1,0
Germany,Female,33.0,140002.35,0,0
Germany,Male,46.0,123444.72,1,1
France,Male,32.0,147107.91,1,0
France,Male,19.0,128514.84,0,0
France,Female,55.0,0.0,0,1
Germany,Female,40.0,106756.01,0,0
Spain,Female,28.0,0.0,0,0
France,Female,37.0,0.0,0,0
Germany,Female,50.0,155393.32,1,1
France,Female,36.0,110414.48,1,0
Spain,Male,33.0,0.0,1,0
Germany,Female,37.0,157098.52,1,0
Germany,Female,38.0,85626.6,1,0
Germany,Male,45.0,93796.42,1,0
Spain,Female,41.0,0.0,0,0
France,Male,51.0,125268.03,0,0
France,Female,29.0,148143.84,1,0
Spain,Male,29.0,115545.33,0,0
Spain,Male,35.0,0.0,0,0
France,Male,30.0,44928.88,1,0
Spain,Male,29.0,0.0,1,0
France,Male,35.0,162442.35,0,0
Spain,Female,39.0,0.0,1,0
Germany,Male,28.0,96213.82,0,0
France,Female,29.0,156569.43,0,0
Spain,Male,36.0,0.0,0,0
Spain,Female,37.0,0.0,0,0
Germany,Female,48.0,110463.25,1,1
France,Male,33.0,154575.76,0,1
Spain,Female,35.0,0.0,0,0
France,Male,37.0,0.0,1,0
Germany,Male,26.0,147037.32,0,0
Germany,Male,41.0,119276.31,0,1
France,Female,25.0,108664.85,0,0
Spain,Male,44.0,0.0,0,0
Germany,Male,38.0,163034.82,1,0
Germany,Female,49.0,93059.34,0,1
Spain,Male,38.0,179581.31,0,0
Germany,Male,46.0,113625.93,0,1
Germany,Male,55.0,119961.48,0,1
France,Male,45.0,129209.48,0,0
Germany,Female,42.0,137227.04,0,1
Germany,Female,58.0,119024.75,0,1
France,Male,35.0,74623.5,0,1
Spain,Female,45.0,157929.45,1,1
France,Female,26.0,92606.86,0,0
Germany,Male,35.0,127862.93,0,0
Spain,Female,42.0,0.0,1,1
Germany,Female,37.0,142711.81,0,0
France,Female,38.0,0.0,0,0
France,Male,43.0,163159.85,1,0
Germany,Male,32.0,108586.86,1,0
Germany,Female,41.0,110624.99,0,0
Germany,Female,43.0,154846.24,1,0
Germany,Male,45.0,122917.71,1,1
France,Female,33.0,0.0,1,0
France,Female,31.0,82787.93,0,0
Germany,Male,32.0,102500.34,0,0
France,Male,34.0,0.0,0,0
Germany,Male,39.0,159492.79,0,1
Spain,Male,48.0,0.0,1,0
Spain,Female,54.0,118241.02,0,1
France,Female,35.0,113090.4,0,0
France,Female,22.0,65763.57,1,0
Germany,Female,43.0,125537.38,0,1
France,Male,31.0,94263.91,0,0
Spain,Male,29.0,133434.57,0,0
Spain,Female,39.0,0.0,1,0
Spain,Male,31.0,0.0,1,0
France,Male,50.0,94748.76,1,0
France,Female,38.0,98640.74,1,0
France,Male,26.0,74681.9,0,0
France,Male,34.0,0.0,0,0
Spain,Female,41.0,179915.85,0,1
France,Male,30.0,128207.23,1,0
France,Male,42.0,132739.26,0,0
France,Female,40.0,0.0,0,0
France,Male,27.0,120509.81,0,0
France,Male,46.0,124547.13,0,0
Spain,Female,39.0,0.0,1,0
Germany,Male,34.0,88815.56,0,1
Spain,Female,35.0,82231.51,0,0
Germany,Male,32.0,184715.86,0,0
France,Male,31.0,0.0,0,0
Spain,Male,51.0,0.0,1,0
Germany,Male,28.0,147972.19,0,1
France,Male,43.0,0.0,1,0
France,Male,52.0,170008.84,0,1
France,Female,27.0,0.0,1,0
Spain,Female,34.0,0.0,0,0
Spain,Female,42.0,95386.82,1,0
Germany,Male,51.0,90373.28,0,0
Germany,Male,34.0,133467.77,1,0
Spain,Male,30.0,0.0,1,0
France,Male,31.0,96288.26,0,0
France,Female,26.0,91547.84,1,0
Germany,Male,37.0,138292.64,0,1
France,Male,35.0,0.0,0,0
Spain,Male,32.0,71667.74,1,0
Germany,Female,43.0,118994.84,0,1
Spain,Male,55.0,0.0,1,0
Germany,Male,37.0,145610.07,0,0
France,Female,33.0,138162.81,0,0
Germany,Female,31.0,135020.21,1,0
France,Male,38.0,0.0,0,0
Germany,Female,25.0,135161.67,1,0
France,Female,52.0,0.0,0,1
France,Male,32.0,94486.47,1,0
France,Male,46.0,117640.39,0,0
Spain,Female,33.0,111379.55,1,0
France,Male,40.0,0.0,1,1
Spain,Female,57.0,136820.99,1,0
France,Female,46.0,98752.51,0,0
Germany,Female,25.0,158266.42,1,0
France,Female,29.0,105599.67,1,0
France,Female,29.0,0.0,0,0
France,Male,31.0,0.0,1,0
Spain,Female,39.0,139723.9,1,0
France,Female,41.0,141806.46,0,0
Germany,Female,49.0,132571.67,1,1
France,Male,40.0,180516.9,0,0
France,Male,31.0,0.0,1,0
Germany,Female,41.0,92805.72,1,1
France,Male,22.0,0.0,1,1
Germany,Male,39.0,135309.36,0,1
Spain,Female,38.9218,128917.84,1,0
France,Female,52.0,56580.93,0,1
Germany,Male,42.0,131390.75,0,0
Spain,Male,37.0,0.0,0,0
France,Male,41.0,0.0,0,0
Germany,Female,61.0,97361.66,1,1
France,Female,42.0,0.0,0,1
Spain,Male,59.0,0.0,1,0
Spain,Male,29.0,0.0,1,0
France,Female,34.0,0.0,0,0
France,Male,57.0,0.0,1,0
Germany,Female,29.0,102714.65,0,0
France,Female,34.0,67816.72,1,0
France,Male,51.0,81710.46,1,0
France,Male,26.0,75237.54,1,0
Germany,Male,28.0,124023.18,0,0
Germany,Female,46.0,100727.5,1,1
France,Female,46.0,107238.85,0,0
France,Male,24.0,0.0,0,0
France,Female,29.0,139994.66,0,0
Spain,Female,59.0,126224.87,1,0
Germany,Female,51.0,145751.03,0,1
France,Male,47.0,0.0,1,1
Spain,Female,25.0,121166.89,1,0
Spain,Female,38.0,0.0,1,0
Spain,Male,38.9218,0.0,1,0
France,Male,38.9218,70655.48,0,1
Germany,Male,41.0,129901.21,0,1
France,Male,40.0,125470.81,1,0
France,Female,53.0,169406.33,1,1
France,Male,32.0,0.0,1,0
Germany,Male,40.0,107041.3,1,0
Spain,Female,32.0,95153.77,1,0
Germany,Male,32.0,145166.09,0,0
France,Female,27.0,0.0,0,0
France,Male,38.0,65962.63,1,0
Germany,Male,36.0,140418.81,1,1
Spain,Female,31.0,139799.63,1,0
Germany,Male,49.0,171787.84,0,0
France,Male,38.0,149238.97,1,0
Germany,Female,57.0,163146.46,0,1
France,Female,37.0,0.0,0,1
France,Male,32.0,0.0,0,0
Germany,Female,38.0,61482.47,1,0
France,Female,41.0,145150.28,0,1
France,Female,41.0,126670.37,0,0
France,Female,40.0,84390.8,1,0
Germany,Male,37.0,89728.86,1,0
France,Female,57.0,0.0,0,0
Spain,Male,40.0,118628.8,0,0
France,Male,37.0,0.0,0,0
France,Male,39.0,96863.13,1,0
France,Female,38.0,142263.45,1,0
Spain,Female,36.0,0.0,0,0
France,Female,32.0,0.0,0,0
Spain,Female,21.0,0.0,0,0
France,Male,28.0,122724.37,1,0
Germany,Female,35.0,174902.26,0,0
Spain,Female,26.0,0.0,1,0
Germany,Female,31.0,108914.17,1,1
Spain,Male,23.0,98052.66,1,0
France,Male,46.0,123873.19,1,0
Germany,Female,56.0,111920.13,0,1
France,Female,45.0,0.0,1,0
France,Male,20.0,0.0,1,0
France,Male,37.0,0.0,1,0
France,Female,37.0,75150.34,1,1
France,Male,38.0,0.0,0,0
Germany,Female,38.0,114753.76,0,0
France,Male,32.0,0.0,0,0
France,Female,32.0,111871.93,0,0
Spain,Female,45.0,0.0,0,0
Germany,Female,37.0,135927.06,0,0
Spain,Male,44.0,0.0,1,0
France,Male,33.0,0.0,0,0
France,Male,46.0,57037.74,1,0
France,Female,50.0,0.0,0,1
France,Female,52.0,79468.96,1,0
Germany,Female,34.0,121063.85,0,0
France,Male,51.0,118537.47,1,0
France,Male,39.0,0.0,0,0
Germany,Female,26.0,105082.07,0,0
France,Male,40.0,0.0,0,1
France,Female,36.0,0.0,1,0
Germany,Male,36.0,104702.65,0,0
France,Female,50.0,95813.76,1,1
Spain,Female,62.0,167026.61,1,0
Germany,Male,61.0,102453.26,0,1
Germany,Male,25.0,148045.45,1,0
France,Male,35.0,0.0,0,0
France,Female,24.0,0.0,0,0
Spain,Male,52.0,0.0,1,1
France,Male,34.0,104498.79,1,0
Spain,Female,29.0,0.0,0,0
France,Male,42.0,0.0,1,0
France,Male,26.0,149542.52,1,0
France,Female,29.0,87946.39,1,0
France,Female,45.0,68639.57,0,1
Germany,Male,47.0,148826.32,1,0
France,Female,60.0,0.0,1,0
France,Male,61.0,108166.09,1,0
Germany,Female,35.0,103214.71,0,0
Germany,Male,40.0,134760.21,0,1
France,Male,58.0,0.0,1,1
France,Female,33.0,90124.64,0,0
